1, 5, 3
2, 3, 3
3, 3, 3
4, 3, 3
5, 6, 6
6, 6, 6
7, 5, 5
8, 4, 3
9, 3, 3
10, 6, 6
11, 6, 4
12, 5, 4
13, 4, 4
14, 3, 4
15, 6, 6
16, 4, 4
17, 4, 4
18, 4, 4
19, 4, 4
20, 8, 8
21, 6, 6
22, 3, 5
23, 2, 5
24, 1, 5
25, 2, 10
26, 1, 8
27, 0, 8
28, 0, 6
29, 0, 6
30, 0, 10
31, 0, 6
32, 0, 6
33, 0, 5
34, 0, 5
35, 0, 10
36, 0, 5
37, 0, 5
38, 0, 5
39, 0, 5
40, 0, 10
41, 0, 4
42, 0, 4
43, 0, 4
44, 0, 4
45, 0, 8
46, 0, 4
47, 0, 4
48, 0, 4
49, 0, 4
50, 0, 8
51, 0, 4
52, 0, 4
53, 0, 4
54, 0, 4
55, 0, 8
56, 0, 4
57, 0, 4
58, 0, 4
59, 0, 4
60, 0, 8
61, 0, 4
62, 0, 4
63, 0, 4
64, 0, 4
65, 0, 8
66, 0, 4
67, 0, 4
68, 0, 4
69, 0, 4
70, 0, 8
71, 0, 4
72, 0, 4
73, 0, 4
74, 0, 4
75, 0, 8
76, 0, 4
77, 0, 4
78, 0, 4
79, 0, 4
80, 0, 8
81, 0, 4
82, 0, 4
83, 0, 4
84, 0, 4
85, 0, 8
86, 0, 4
87, 0, 4
88, 0, 4
89, 0, 4
90, 0, 8
91, 0, 3
92, 0, 3
93, 0, 3
94, 0, 3
95, 0, 6
96, 0, 3
97, 0, 3
98, 0, 3
99, 0, 3
100, 0, 6
